flight,average delay
6E21,0.301255230125523
6E22,0.06349206349206349
6E23,-0.5935483870967742
6E24,3.8324607329842935
6E25,0.10217391304347825
6E26,0.05010438413361169
6E31,0.3214285714285714
6E32,0.1954887218045113
6E38,0.08676789587852494
6E39,0.0
6E46,-0.47058823529411764
6E47,-0.017130620985010708
6E51,0.0827250608272506
6E52,8.290519877675841
6E53,-0.052845528455284556
6E54,-0.10059171597633136
6E55,-0.34623655913978496
6E56,0.5
6E58,-0.5258855585831063
6E61,0.10986547085201794
6E62,-0.11458333333333333
6E63,-0.4115138592750533
6E64,0.4720357941834452
6E65,-0.41830065359477125
6E66,0.2857142857142857
6E67,-0.1471861471861472
6E68,0.21296296296296297
6E71,-0.5882352941176471
6E72,-0.011764705882352943
6E73,-0.19273743016759776
6E75,-0.18973214285714285
6E76,0.025806451612903226
6E77,0.10792951541850221
6E78,-0.7663755458515283
6E79,0.0
6E81,0.7961165048543689
6E82,0.3864628820960699
6E83,0.181360201511335
6E84,0.15258855585831063
6E85,-0.3446601941747573
6E86,-0.09010989010989011
6E88,0.019823788546255505
6E89,-0.6266666666666667
6E95,-0.34080717488789236
6E96,0.3032967032967033
6E101,-0.7563451776649746
6E103,0.697986577181208
6E105,-0.12236842105263158
6E108,2.326923076923077
6E112,0.1943231441048035
6E116,-44.635555555555555
6E117,0.3341288782816229
6E118,-10.021276595744682
6E119,-0.19767441860465115
6E121,-3.6348773841961854
6E122,-0.2317596566523605
6E123,0.32727272727272727
6E125,-2.0431818181818184
6E126,-0.08577878103837472
6E127,-0.3379310344827586
6E128,-0.44666666666666666
6E129,0.6512261580381471
6E131,-6.747340425531915
6E132,0.3054662379421222
6E133,-0.04953560371517028
6E134,0.592057761732852
6E135,-0.6262425447316103
6E136,-0.09868421052631579
6E137,0.018333333333333333
6E139,0.29523809523809524
6E141,0.068
6E143,-0.0909090909090909
6E145,-0.41082802547770697
6E146,-0.5272206303724929
6E148,-0.18827708703374776
6E149,0.0539568345323741
6E151,-0.644486692015209
6E153,0.17231638418079098
6E154,-0.515970515970516
6E155,-0.09915611814345991
6E156,0.10511363636363637
6E157,-1.1826923076923077
6E158,-1.8692307692307693
6E159,-0.4691075514874142
6E161,0.9883333333333333
6E162,-0.7448717948717949
6E163,0.45617977528089887
6E164,0.027472527472527472
6E165,0.11111111111111112
6E166,0.20631067961165048
6E167,0.11926605504587155
6E168,0.6253298153034301
6E169,-1.0057803468208093
6E171,-0.417607223476298
6E172,-0.057177615571776155
6E173,30.698481561822124
6E174,1.558383233532934
6E175,16.189376443418016
6E176,0.19920634920634922
6E177,-0.5010893246187363
6E178,0.49117647058823527
6E179,0.6333754740834386
6E181,1.29811320754717
6E182,-1.3666666666666667
6E183,-0.6929133858267716
6E184,0.3575129533678757
6E185,0.40671273445212236
6E186,-0.16318407960199005
6E187,0.05932203389830508
6E188,-0.3098958333333333
6E189,0.18077803203661327
6E191,0.9940476190476191
6E192,0.20192307692307693
6E193,0.6571428571428571
6E194,-0.2599009900990099
6E196,-0.6709677419354839
6E197,0.35335689045936397
6E198,0.5334987593052108
6E199,-0.2273781902552204
6E201,-0.3293051359516616
6E202,-0.13404255319148936
6E203,3.6815742397137745
6E204,1.3540372670807452
6E205,0.2969543147208122
6E206,0.19156626506024096
6E207,-0.15634218289085544
6E211,-0.6882352941176471
6E212,0.8951048951048951
6E213,-0.3036649214659686
6E214,0.24105011933174225
6E215,0.6517533252720678
6E216,-0.875
6E217,0.5426136363636364
6E218,-0.3581081081081081
6E219,-0.6393939393939394
6E221,0.5695652173913043
6E223,0.04481132075471698
6E224,1.2986666666666666
6E225,1.7569444444444444
6E226,0.10698689956331878
6E229,-0.3057471264367816
6E231,0.014814814814814814
6E231,0.0031847133757961785
6E232,9.02020202020202
